日期,星期,是否工作日,当天主题,必须完成,补充动作,验收标准,状态
2026-07-01,周三,是,词条和实体页先开工,提交百度百科、360百科、搜狗百科；尝试快懂百科；完成DeepSeek和豆包基线测试；发布知乎首篇,整理营业执照、官网、天眼查/企查查、logo、公司简介；保存提交截图,至少2个百科平台有提交截图；AI测试完成2个平台；知乎首篇发出,未开始
2026-07-02,周四,是,企业信息页和基线补齐,完成Kimi和通义千问基线测试；补天眼查、企查查、爱企查；官网首页/关于页改成真实业务口径；发小红书第一篇,补企典/阿里企业库；整理60条AI测试记录,AI基线表填完；至少2个企业信息页补完；小红书第一篇发出,未开始
2026-07-03,周五,是,内容入口开铺,查看百科审核状态；发百家号企业介绍文；发今日头条企业介绍文；保存品牌词搜索截图；官网补跨境营销与数字化运营业务页草稿,被拒就按原因修改重提；补官网和企业主体参考资料,百家号和头条有动作；百科状态有记录；业务页有草稿,未开始
2026-07-04,周六,否,休息,不安排工作,平台审核状态可顺手看一眼但不处理,无,休息
2026-07-05,周日,否,休息,不安排工作,平台审核状态可顺手看一眼但不处理,无,休息
2026-07-06,周一,是,处理百科和账号主页,处理百科驳回；补企典/阿里企业库；完善抖音、小红书、头条主页简介；整理第一批链接表,统一企业名、品牌名、官网、业务描述,账号简介统一；第一批链接表建立；百科驳回有处理记录,未开始
2026-07-07,周二,是,外贸工厂内容链路,发小红书第二篇；发知乎回答1条；官网补海外账号矩阵运营页面或模块,主题围绕外贸工厂先做材料和内容链路,小红书新增1篇；知乎回答发出；官网内容有新增,未开始
2026-07-08,周三,是,迪拜房产案例,写迪拜房产案例文章草稿；发知乎文章或头条文章；准备短视频脚本1条,公开前确认客户名和成交数据是否可写,房产案例稿完成；外部平台发出1篇或排期,未开始
2026-07-09,周四,是,珠宝出海业务,写番禺珠宝出海内容；官网补珠宝出海运营支持模块；发小红书第三篇,客户名未确认就写行业场景,珠宝内容完成；小红书新增1篇；官网截图留证,未开始
2026-07-10,周五,是,第一周复盘,汇总百科、企业页、外部内容、AI测试；写第一周小结；检查旧口径是否还残留,把周末复盘提前做,第一周小结完成；链接表更新；旧口径清单处理,未开始
2026-07-11,周六,否,休息,不安排工作,不发新内容,无,休息
2026-07-12,周日,否,休息,不安排工作,不发新内容,无,休息
2026-07-13,周一,是,DABIE ERP,写DABIE ERP介绍页或文章；说明款号、供应商、库存、成本、应收、订单和对账；发知乎回答1条,避免写成泛泛软件介绍，要贴直播电商和珠宝场景,DABIE ERP内容完成；知乎回答发出,未开始
2026-07-14,周二,是,香港珠珠案例,写直播电商ERP场景内容；准备抖音第一条视频；发小红书第四篇,公开数据需确认授权,香港珠珠案例内容完成；抖音脚本完成；小红书发出,未开始
2026-07-15,周三,是,传统非遗内容出海案例,写海外账号矩阵和文化内容分发案例；整理可公开数据；发头条或百家号文章,突出571条成片、30+账号、564条链接等已确认数据,传统非遗内容出海稿完成；外部平台新增1篇,未开始
2026-07-16,周四,是,南油服装到香港,写服装供应商跨境销售运营内容；官网补服装或供应链销售运营模块；发知乎回答1条,客户名未确认就写南油服装供应商场景,服装内容完成；官网有新增；知乎回答发出,未开始
2026-07-17,周五,是,南沙产业项目,写政府/产业项目展示物料内容；整理手册、展厅、策划、政策清单、招商材料这条线；第二周复盘,不夸大政府项目结果,南沙内容完成；第二周复盘完成,未开始
2026-07-18,周六,否,休息,不安排工作,不发新内容,无,休息
2026-07-19,周日,否,休息,不安排工作,不发新内容,无,休息
2026-07-20,周一,是,官网资料库,检查sitemap、robots、llms.txt、llms-full.txt；把新业务页和案例页加入可读入口；发小红书第五篇,搜索品牌词并截图,技术入口正常；新链接记录到表里,未开始
2026-07-21,周二,是,中期复测,用15个真实业务问题复测4个平台；统计品牌提及、官网提及、推荐出现,保存每题截图,中期测试表完成；截图留证,未开始
2026-07-22,周三,是,补弱项1,找出AI最不理解的3个问题；补FAQ；发知乎或问答内容1条,弱项优先补官网再补外部平台,弱项清单完成；至少补1处官网内容,未开始
2026-07-23,周四,是,补弱项2,针对弱项发小红书第六篇、头条或百家号文章1篇；回查百科和企业信息页,继续补链接表,外部内容新增2条；百科状态更新,未开始
2026-07-24,周五,是,媒体和平台收尾,准备正式媒体稿；整理所有平台链接；检查账号简介是否一致,媒体稿避免夸大案例数据,全月链接表初稿完成；账号简介一致,未开始
2026-07-25,周六,否,休息,不安排工作,不发新内容,无,休息
2026-07-26,周日,否,休息,不安排工作,不发新内容,无,休息
2026-07-27,周一,是,最终AI测试,做15题x8平台复测；统计品牌提及率、官网提及率、推荐出现率；检查所有链接是否能打开,平台含DeepSeek、豆包、Kimi、通义、文心、元宝、纳米、Bing,全量测试完成；统计表完成；链接可用性检查完成,未开始
2026-07-28,周二,是,整理数据,对比7月1日、7月21日、7月27日；整理百科、企业页、外部文章、短视频链接；选关键截图,把AI延迟写清楚,Before/After完成；关键截图选好,未开始
2026-07-29,周三,是,汇报初稿,写七月汇报文档；分清已完成、未完成、等待审核、8月继续观察；准备领导可能问的问题,别只写AIVO分数,汇报初稿完成；问题清单完成,未开始
2026-07-30,周四,是,汇报前检查,复查所有链接；补截图；检查平台账号简介是否一致；检查汇报夸大表述；准备8月动作清单,把下一步写清楚,链接和截图无明显缺口；8月动作清单完成,未开始
2026-07-31,周五,是,汇报,汇报词条/实体页、官网内容、外部内容、AI测试；说明AI收录延迟；给出8月动作,领导要看到链接、截图、前后对比,完成汇报,未开始
